"Title","Frequency","Sch Date","Status","Due Date","Category","Type"
"New Task Test","Daily","01-08-2023","Completed","07-08-2023","Case Coordination","Complaint Management"
"New Form","Daily","28-08-2023","Completed","29-08-2023","Case Coordination","Incentive Management"
"New Form Task","One-Time","29-08-2023","Completed","29-08-2023","Clinical","Incentive Management"
"New Form Task","One-Time","29-08-2023","New-CR","29-08-2023","Clinical","Incentive Management"
"New Form Task","One-Time","29-08-2023","New-CR","29-08-2023","Clinical","Incentive Management"
"New Form Task","One-Time","29-08-2023","New-CR","29-08-2023","Clinical","Incentive Management"
"New Task","One-Time","30-08-2023","New-CR","30-08-2023","Case Coordination","Incident Management"
"New Form Task","One-Time","28-08-2023","Completed","28-08-2023","Clinical","Incentive Management"
"New Form Task","Daily","01-08-2023","Completed","02-08-2023","Clinical","Incentive Management"
"New Form Task","Daily","01-08-2023","Completed","02-08-2023","Clinical","Incentive Management"
"New Form Task","Daily","01-08-2023","Completed","02-08-2023","Clinical","Incentive Management"
"New Form Task","Daily","01-08-2023","Completed","02-08-2023","Clinical","Incentive Management"
"New Task","One-Time","29-08-2023","Completed","29-08-2023","Case Coordination","Incident Management"
"New Task","One-Time","29-08-2023","Completed","29-08-2023","Case Coordination","Incident Management"
"New Task","Monthly","08-08-2023","Reviewed","01-08-2023","Case Coordination","Incident Management"
"New Task 2","Daily","01-08-2023","Completed","01-08-2023","Case Coordination","Incident Management"
"Task 3 test","Weekly","01-08-2023","Completed","07-08-2023","Case Coordination","Incident Management"
"wrw","Daily","08-08-2023","Completed","01-08-2023","Case Coordination","Incident Management"
"Form","","14-08-2023","Completed","01-08-2023","Clinical","Complaint Management"
"mbbkbkjg","Weekly","01-08-2023","Completed","01-08-2023","Clinical","Incident Management"
"mbbkbkjg","Weekly","01-08-2023","Completed","01-08-2023","Clinical","Incident Management"
"mbbkbkjg","Weekly","01-08-2023","Completed","01-08-2023","Clinical","Incident Management"
"Task 3","Weekly","01-08-2023","Completed","07-08-2023","Case Coordination","Incident Management"
"Task 2","Weekly","07-08-2023","Completed","08-08-2023","Case Coordination","Incident Management"
"Task 1","Daily","08-08-2023","Completed","01-08-2023","Clinical","Incentive Management"
